0.00 0.00
1.00 19.41
2.00 24.32
3.00 24.92
4.00 24.38
5.00 23.95
6.00 23.30
7.00 22.43
8.00 22.01
9.00 21.34
10.00 19.40
11.00 16.96
12.00 16.08
13.00 13.89
14.00 12.47
15.00 10.50
16.00 10.10
17.00 9.81
18.00 7.24
19.00 9.74
20.00 8.26
21.00 6.31
22.00 6.14
23.00 7.22
24.00 4.88
25.00 5.37
26.00 4.52
27.00 5.31
28.00 6.36
29.00 5.08
30.00 5.22
31.00 6.03
32.00 7.08
33.00 5.48
34.00 5.21
35.00 4.19
36.00 5.69
37.00 6.36
38.00 4.97
39.00 6.08
40.00 6.17
41.00 6.66
42.00 7.61
43.00 4.62
44.00 7.51
45.00 6.22
46.00 6.85
47.00 6.04
48.00 6.02
49.00 8.66
50.00 9.68
51.00 9.04
52.00 7.16
53.00 7.27
54.00 7.05
55.00 8.48
56.00 7.70
57.00 7.80
58.00 7.37
59.00 7.93
60.00 6.73
61.00 6.74
62.00 6.37
63.00 9.61
64.00 9.07
65.00 8.79
66.00 9.53
67.00 9.71
68.00 7.97
69.00 9.13
70.00 9.57
71.00 9.86
72.00 13.57
73.00 11.66
74.00 10.70
75.00 11.21
76.00 12.60
77.00 11.27
78.00 9.60
79.00 12.64
80.00 10.28
81.00 12.32
82.00 10.52
83.00 8.98
84.00 7.92
85.00 6.38
86.00 10.31
87.00 9.35
88.00 5.56
89.00 12.11
90.00 12.79
91.00 11.30
92.00 13.96
93.00 14.51
94.00 13.46
95.00 15.62
96.00 13.31
97.00 11.11
98.00 11.24
99.00 9.88
100.00 17.60
101.00 16.29
102.00 20.38
103.00 25.30
104.00 25.00
105.00 24.95
106.00 23.52
107.00 23.52
108.00 23.51
