0.00 0.00
1.00 0.87
2.00 0.98
3.00 0.97
4.00 0.93
5.00 0.90
6.00 0.84
7.00 0.77
8.00 0.72
9.00 0.70
10.00 0.64
11.00 0.61
12.00 0.58
13.00 0.58
14.00 0.54
15.00 0.51
16.00 0.46
17.00 0.43
18.00 0.36
19.00 0.29
20.00 0.25
21.00 0.23
22.00 0.29
23.00 0.29
24.00 0.24
25.00 0.29
26.00 0.29
27.00 0.22
28.00 0.25
29.00 0.19
30.00 0.25
31.00 0.23
32.00 0.24
33.00 0.27
34.00 0.28
35.00 0.21
36.00 0.20
37.00 0.23
38.00 0.25
39.00 0.23
40.00 0.21
41.00 0.24
42.00 0.25
43.00 0.25
44.00 0.21
45.00 0.26
46.00 0.27
47.00 0.26
48.00 0.27
49.00 0.30
50.00 0.33
51.00 0.24
52.00 0.19
53.00 0.23
54.00 0.24
55.00 0.31
56.00 0.22
57.00 0.21
58.00 0.33
59.00 0.37
60.00 0.35
61.00 0.25
62.00 0.30
63.00 0.32
64.00 0.32
65.00 0.21
66.00 0.29
67.00 0.34
68.00 0.39
69.00 0.25
70.00 0.37
71.00 0.34
72.00 0.27
73.00 0.37
74.00 0.41
75.00 0.37
76.00 0.42
77.00 0.44
78.00 0.40
79.00 0.41
80.00 0.43
81.00 0.45
82.00 0.46
83.00 0.53
84.00 0.46
85.00 0.51
86.00 0.52
87.00 0.50
88.00 0.63
89.00 0.52
90.00 0.70
91.00 0.45
92.00 0.53
93.00 0.73
94.00 0.58
95.00 0.50
96.00 0.34
97.00 0.38
98.00 0.68
99.00 0.60
100.00 0.80
101.00 1.01
102.00 1.00
103.00 1.00
104.00 1.00
105.00 1.00
106.00 1.00
