13.16 6
90.75 96
33.66 38
74.36 85
72.32 83
27.72 27
14.29 7
73.37 84
54.87 65
63.62 74
100.69 100
94.21 98
29.47 31
92.24 97
36.26 42
76.93 87
65.27 76
26.86 26
22.93 20
40.02 46
78.22 88
37.83 44
23.91 22
88.17 94
27.75 28
67.29 78
34.08 39
9.47 2
19.99 15
42.45 49
59.24 70
10.58 3
57.23 68
35.37 41
70.15 81
79.53 89
12.52 5
34.91 40
37.14 43
71.35 82
41.61 48
47.29 55
20.31 16
16.92 11
29.13 30
56.73 67
80.70 90
19.31 14
11.82 4
43.74 51
32.61 36
69.33 80
55.67 66
68.49 79
22.29 19
61.40 72
54.45 64
15.26 9
66.23 77
45.93 54
97.18 99
30.63 33
51.24 60
44.56 52
45.74 53
47.76 56
83.07 91
31.70 35
85.79 93
40.96 47
58.27 69
21.64 18
64.61 75
32.88 37
84.30 92
8.32 1
48.50 57
28.43 29
60.21 71
23.05 21
39.08 45
53.35 63
17.99 12
16.46 10
43.56 50
49.38 58
50.43 59
24.94 23
30.58 32
52.77 62
18.65 13
62.43 73
31.56 34
75.35 86
21.21 17
26.69 25
25.99 24
52.27 61
14.52 8
89.35 95
